 timestep, x_true, x_sim, x_da, v_true, v_sim, v_da, obs_data
6.2000000000000002,-1.2153286837531143,-1.5006347327573828,-1.3202713535297428,1.3209294643872331,0.97218937048562881,1.3163551658265573,None
6.4000000000000004,-0.94794578594164014,-1.2981948635752583,-1.0564704204032653,1.3495955870548690,1.0520387829021483,1.3553619563433728,-1.143
6.6000000000000005,-0.67749789114683501,-1.0821630984852424,-0.78389336628434914,1.3504119639194381,1.1068794285765133,1.3663077922243487,None
6.7999999999999998,-0.40941212506960473,-0.85751395386650253,-0.51989281610276283,1.3249606345270470,1.1370813587509596,1.3497904270862144,-0.714
7.0000000000000000,-0.14875836444242058,-0.62910385422159332,-0.25339629855269835,1.2752429066691409,1.1434718012471223,1.3091054771479755,None
7.2000000000000002,9.9828707143797379E-002,-0.40158361085169236,4.3090837977973334E-003,1.2036164414168229,1.1272928675322340,1.2453266466349420,0.043
7.4000000000000004,0.33221462121396023,-0.17931991448422752,0.24567052904412473,1.1127290286384857,1.0901536305901967,1.1608829666127085,None
7.6000000000000005,0.54481670307326024,3.3673150953648937E-002,0.45318417073791550,1.0054505287623929,1.0339778270760518,1.0598207889607911,0.056
7.7999999999999998,0.73464197697767886,0.23379181859040896,0.65440285207904658,0.88480440747932909,0.96094845027651665,0.94438743892480181,None
8.0000000000000000,0.89931144633075233,0.41788907061379155,0.83936725487148955,0.75390021612701852,0.87345048810300630,0.81609977819335955,1.075
8.1999999999999993,1.0370710591982004,0.58330953754989001,0.98974264153630964,0.61586827452166781,0.77401302439957409,0.67968101144809390,None
8.4000000000000004,1.1467899101592822,0.72791284887553076,1.1122724038565412,0.47379769812972877,0.66525186431120686,0.53789200531880377,None
8.5999999999999996,1.2279464457300608,0.85008564417622923,1.2061750435669298,0.33067878101953968,0.54981376768398915,0.39379398802503252,None
8.8000000000000007,1.2806036295072294,0.94874266223585835,1.2712697522837457,0.18935060342480411,0.43032328105226642,0.25031738243514312,None
9.0000000000000000,1.3053741826901313,1.0233175135695838,1.3079454574110267,5.2454581456293906E-002,0.30933305147781787,0.11021241123821109,None
9.2000000000000011,1.3033771443330497,1.0737439074860862,1.3171205815263443,-7.7605480049123862E-002,0.18927838722141743,-2.3993964898847881E-002,None
9.4000000000000004,1.2761870928288828,1.1004282458675194,1.3001948294137253,-0.19869642901104076,7.2436703875620664E-002,-0.15003430341749110,None
9.5999999999999996,1.2257774356525195,1.1042146111503666,1.2589943963091115,-0.30898165657088378,-3.9107636914707394E-002,-0.26592981669810384,None
9.8000000000000007,1.1544592088396448,1.0863432647193967,1.1957120387072353,-0.40693974411920802,-0.14349272282174053,-0.37001223235718350,None
10.000000000000000,1.0648168321585771,1.0484038338916912,1.1128434661341238,-0.49137592041207950,-0.23910248034739581,-0.46093837004531985,None
10.200000000000001,0.95964224208145321,0.99228440120061601,1.0131215000484470,-0.56142651883863848,-0.32458394891525477,-0.53769756960306381,None
10.400000000000000,0.84186877456527143,0.92011771961728528,0.89944940641623450,-0.61655674991267440,-0.39885845500660405,-0.59961223649903783,None
10.600000000000000,0.71450609579154556,0.83422576294583117,0.77483474384710027,-0.65655221578148970,-0.46112681936065925,-0.64633188885842729,None
10.800000000000001,0.58057738418333404,0.73706378357416757,0.64232498217810419,-0.68150469056875174,-0.51086883848658249,-0.67782119451936973,None
11.000000000000000,0.44305985426456473,0.63116499207316012,0.50494604001506449,-0.69179277165377029,-0.54783737906855412,-0.69434257522570475,None
11.200000000000001,0.30482958546659517,0.51908689711821521,0.36564476716767952,-0.68805807186234635,-0.57204750902003798,-0.69643402744228389,None
11.400000000000000,0.16861148013950444,0.40336025238602918,0.22723626245351958,-0.67117767068606193,-0.58376116100327446,-0.68488286489303818,None
11.600000000000000,3.6935028140019852E-002,0.28644145214515759,9.2356772366495032E-002,-0.64223357408285142,-0.58346788252821791,-0.66069612665423494,None
11.800000000000001,-8.7903596242456167E-002,0.17066910200201818,-3.6577235031016599E-002,-0.60247994748995382,-0.57186227093924824,-0.62506841670235480,None
12.000000000000000,-0.20387273238066442,5.8225368514159347E-002,-0.15740338063876222,-0.55330888604672313,-0.54981872163911827,-0.57934794674551615,None
12.200000000000001,-0.30922950535470850,-4.8897416046571406E-002,-0.26824078263803147,-0.49621547059298454,-0.51836413401648718,-0.52500154477006844,None
12.400000000000000,-0.40253709804392135,-0.14892454686416914,-0.36751042643156473,-0.43276282892741563,-0.47864922222200684,-0.46357936807181055,None
12.600000000000000,-0.48267508951955090,-0.24032091944461736,-0.45394850451211527,-0.36454788042755470,-0.43191906789726087,-0.39668002289204701,None
12.800000000000001,-0.54884305682228673,-0.32180708947467546,-0.52661287059360617,-0.29316838995788175,-0.37948353012570879,-0.32591674459925712,None
13.000000000000000,-0.60055775670531020,-0.39236944710134380,-0.58488287775754644,-0.22019189565725825,-0.32268809534574000,-0.25288523424444864,None
13.200000000000001,-0.63764431041701919,-0.45126464576627873,-0.62845298335236122,-0.14712700641833962,-0.26288570798827676,-0.17913368097068164,None
13.400000000000000,-0.66022190676612502,-0.49801852924811896,-0.65732060245413426,-7.5397490411950846E-002,-0.20141007253222032,-0.10613542693548034,None
13.600000000000000,-0.66868461558772385,-0.53241989341395479,-0.67176877572862259,-6.3194976405584434E-003,-0.13955086094685909,-3.5264653894348623E-002,None
13.800000000000001,-0.66367796469693385,-0.55450950016840117,-0.67234428575754723,5.8917821027137510E-002,-7.8531197594420898E-002,3.2224609831591922E-002,None
14.000000000000000,-0.64607197820566642,-0.56456482932294627,-0.65983190788942259,0.11926811689603491,-1.9487728096781877E-002,9.5215944891880427E-002,None
14.200000000000001,-0.61693140274668479,-0.56308110899624308,-0.63522551736788369,0.17383996699723966,3.6546489088122726E-002,0.15274432297918583,None
14.400000000000000,-0.57748386106555749,-0.55074920639777802,-0.59969679412105192,0.22190529386333099,8.8656098141152231E-002,0.20400615859886917,None
14.600000000000000,-0.52908667025840905,-0.52843098842506042,-0.55456227070435293,0.26290413054583334,0.13605446605048413,0.24836564938877204,None
14.800000000000001,-0.47319304556023145,-0.49713277566663860,-0.50124945828713741,0.29644584804613411,0.17809157109039636,0.28535749482564970,None
15.000000000000000,-0.41131838115702701,-0.45797751464459752,-0.44126276131037734,0.32230702429744001,0.21425878612223867,0.31468614832090996,None
15.200000000000001,-0.34500725832590673,-0.41217628216795171,-0.37614985477352780,0.34042618876806563,0.24419064200143853,0.33622181612593954,None
15.400000000000000,-0.27580177977331477,-0.36099971341558496,-0.30746915045716522,0.35089572399233254,0.26766371011828288,0.34999346738922227,None
