 timestep, x_true, y_true, z_true, x_sim, y_sim, z_sim, x_da, y_da, z_da, x_obs, y_obs
4.9,**********,-3.0350973,36.9479370,14.7507441,7.1540627,41.7952202,**********,-9.9450950,38.9877075,None,None
5.0,-6.8954268,0.1523149,32.8446398,9.8792702,-0.8033227,38.2447957,**********,-2.6272628,37.7989047,None,None
5.0,-3.9153861,0.8840733,28.5905651,4.9673961,-3.5144300,32.6620965,-6.7274157,1.0361446,33.1817503,-3.90,0.98
5.0,-2.0565257,0.6832510,24.9102679,1.5442462,-3.7459228,28.0497212,-3.4697097,1.7401063,28.6930253,None,None
5.1,-1.0566235,0.3187026,21.7648219,-0.4929238,-3.5549245,24.4768756,-1.4521215,1.5405843,24.9269293,None,None
5.2,-0.5828196,0.0156659,19.0416979,-1.7088403,-3.6771987,21.6163591,-0.3327687,1.2888259,21.7603181,None,None
5.2,-0.3986603,-0.2180798,16.6669982,-2.5998118,-4.3084345,19.3227553,0.1973470,1.1130870,19.1870087,-0.31,-0.20
5.2,-0.3732811,-0.4345896,14.5922536,-3.5116065,-5.5298764,17.6124371,0.5811406,1.2586092,16.8142279,None,None
5.3,-0.4507037,-0.6969996,12.7814923,-4.6883885,-7.4396631,16.6541837,0.9221148,1.6484866,14.7665107,None,None
5.4,-0.6234772,-1.0778390,11.2080821,-6.3151150,**********,16.8330664,1.3446854,2.3457644,13.0285533,None,None
5.4,-0.9204653,-1.6758249,9.8582697,-8.4833964,**********,18.8103278,1.6001001,2.9420415,12.1731954,-0.96,-1.87
5.5,-1.4083792,-2.6433406,8.7442465,**********,**********,23.2629616,2.4143568,4.3949485,10.9959173,None,None
5.5,-2.2057905,-4.2245472,7.9403863,**********,**********,29.6996241,3.6547341,6.7196958,10.4072084,None,None
5.5,-3.5077482,-6.7950602,7.6795234,**********,**********,35.1347704,5.5710715,10.2641099,10.9337819,None,None
5.6,-5.6060448,**********,8.5900749,**********,-6.5167697,36.3779885,6.5953103,12.0115698,16.2809767,-5.68,-10.59
5.7,-8.8243803,**********,12.1442309,-8.7896383,-2.4645363,33.9272318,9.4558685,15.4371790,19.4612465,None,None
5.7,**********,**********,20.7041319,-5.8913345,-0.8533222,30.2097638,12.3643320,17.6232728,25.6752775,None,None
5.8,**********,**********,33.9891772,-3.8463035,-0.6985329,26.5956316,14.1918132,15.7007014,33.2078849,None,None
5.8,**********,**********,42.8976148,-2.6882647,-1.1248249,23.4066816,11.5364019,6.0930716,39.8176575,-16.45,-11.02
5.9,**********,0.0669079,40.9427610,-2.2051081,-1.7685705,20.6451952,8.1388357,0.7781371,36.3340940,None,None
5.9,-5.9818473,4.4363713,34.7892505,-2.2011946,-2.5895198,18.2884628,4.7398584,-1.1831474,31.6931132,None,None
6.0,-1.6947656,5.0338000,29.6224973,-2.5784858,-3.7010793,16.3531112,2.3283679,-1.4227293,27.5179618,None,None
6.0,0.9078391,4.8230691,25.8655011,-3.3406797,-5.2977398,14.9299365,1.1866703,-0.6901120,23.5286593,0.86,4.70
6.0,2.4509506,4.9141499,23.0342075,-4.5779298,-7.6209007,14.2568769,0.5068805,-0.4291097,20.5704021,None,None
6.1,3.5422035,5.5816104,20.8988662,-6.4346048,**********,14.8555441,0.1749439,-0.2752120,17.9974017,None,None
6.2,4.6001257,6.8785993,19.4758151,-9.0016523,**********,17.6621201,0.0128086,-0.2174625,15.7498815,None,None
6.2,5.8873126,8.8049132,18.9675275,**********,**********,23.6491315,0.5742223,0.8702693,13.0384085,6.09,8.79
6.2,7.5407985,11.2285973,19.7567689,**********,**********,31.8671194,0.7853749,1.3447858,11.4457090,None,None
6.3,9.5179686,13.6195404,22.2994935,**********,**********,37.6722967,1.1518776,2.0846508,10.0939543,None,None
6.4,11.4466098,14.7904251,26.6181950,**********,-4.1651948,37.5656854,1.7537547,3.2749737,9.0144546,None,None
6.4,12.5612031,13.4004055,31.4162883,-7.6601923,-0.2663273,33.7727055,3.4737406,6.5097523,7.6585076,12.36,13.44
6.5,12.1381821,9.6385447,34.2822294,-4.4529225,0.8380869,29.4429896,5.4627078,10.4859351,8.4680655,None,None
